hold_h,tp,sl,is_n,is_avg,is_win,is_total,is_sharpe,is_worst,oos_n,oos_avg,oos_win,oos_total,oos_sharpe,oos_worst
120,0.05,,30,0.0454,0.9667,2.7647,34.8678,-0.0597,16,0.0319,0.8125,0.6372,11.0577,-0.0601
120,0.05,-0.1,30,0.039,0.9333,2.0848,16.6716,-0.101,16,0.0187,0.75,0.3126,4.4972,-0.101
72,0.05,,30,0.0327,0.8667,1.5745,15.1829,-0.0996,16,0.0254,0.75,0.4721,8.3187,-0.0814
48,0.05,,30,0.0293,0.8333,1.3289,14.477,-0.0963,16,0.0182,0.75,0.3122,6.1175,-0.0766
48,0.05,-0.1,30,0.0292,0.8333,1.3168,14.2022,-0.101,16,0.0182,0.75,0.3122,6.1175,-0.0766
120,0.05,-0.06,30,0.0307,0.8333,1.4139,14.0127,-0.061,16,0.0168,0.6875,0.2807,5.138,-0.061
48,0.05,-0.06,30,0.0262,0.8,1.1176,13.0131,-0.061,16,0.0193,0.75,0.3372,7.1399,-0.061
72,0.05,-0.06,30,0.0268,0.8,1.1532,12.5199,-0.061,16,0.0188,0.6875,0.3254,6.3083,-0.061
24,0.05,-0.04,30,0.0198,0.7333,0.7609,12.3926,-0.041,16,0.015,0.625,0.2598,9.73,-0.041
48,0.05,-0.04,30,0.022,0.7,0.8735,12.336,-0.041,16,0.0226,0.75,0.4138,10.0442,-0.041
72,0.05,-0.04,30,0.022,0.7,0.8735,12.336,-0.041,16,0.0231,0.6875,0.4237,9.6988,-0.041
120,0.05,-0.04,30,0.022,0.7,0.8735,12.336,-0.041,16,0.0209,0.6875,0.3729,7.9546,-0.041
24,0.05,-0.06,30,0.0212,0.7667,0.8342,12.1714,-0.061,16,0.0149,0.625,0.2575,9.4709,-0.0427
72,0.05,-0.1,30,0.0292,0.8333,1.3051,11.5819,-0.101,16,0.022,0.75,0.3868,6.2003,-0.101
24,0.05,,30,0.0209,0.7667,0.8133,11.301,-0.0833,16,0.0149,0.625,0.2575,9.4709,-0.0427
24,0.05,-0.1,30,0.0209,0.7667,0.8133,11.301,-0.0833,16,0.0149,0.625,0.2575,9.4709,-0.0427
120,0.08,,30,0.0493,0.8333,3.0899,10.8699,-0.0935,16,0.0347,0.6875,0.6773,5.8429,-0.0692
120,0.05,-0.08,30,0.0273,0.8333,1.1675,10.3626,-0.081,16,0.0118,0.6875,0.175,2.8806,-0.081
24,0.05,-0.08,30,0.0196,0.7667,0.7414,10.1157,-0.081,16,0.0149,0.625,0.2575,9.4709,-0.0427
120,0.12,,30,0.0652,0.8333,5.2806,9.7708,-0.0935,16,0.0313,0.5625,0.5696,3.7204,-0.0692
48,0.05,-0.08,30,0.0229,0.8,0.9015,9.4687,-0.081,16,0.0182,0.75,0.3122,6.1175,-0.0766
72,0.05,-0.08,30,0.0234,0.8,0.9334,9.1633,-0.081,16,0.0151,0.6875,0.2425,4.1275,-0.081
72,0.12,,30,0.0456,0.7333,2.5528,7.5342,-0.0996,16,0.0315,0.6875,0.5948,5.7318,-0.0814
24,0.08,,30,0.0185,0.6667,0.6747,7.461,-0.0833,16,0.0162,0.625,0.2819,8.9052,-0.0427
24,0.08,-0.1,30,0.0185,0.6667,0.6747,7.461,-0.0833,16,0.0162,0.625,0.2819,8.9052,-0.0427
72,0.08,,30,0.0331,0.7333,1.5296,7.3772,-0.0996,16,0.0285,0.6875,0.5314,6.2832,-0.0814
48,0.08,,30,0.0264,0.6667,1.0928,7.2499,-0.0963,16,0.0198,0.6875,0.3344,4.8177,-0.0766
24,0.08,-0.08,30,0.0173,0.6667,0.6083,6.7274,-0.081,16,0.0162,0.625,0.2819,8.9052,-0.0427
120,0.12,-0.1,30,0.052,0.7667,3.1522,6.4746,-0.101,16,0.0195,0.5,0.2876,2.0907,-0.101
48,0.08,-0.1,30,0.0246,0.6667,0.974,6.4192,-0.101,16,0.0198,0.6875,0.3344,4.8177,-0.0766
24,0.08,-0.06,30,0.0158,0.6333,0.5444,6.3956,-0.061,16,0.0162,0.625,0.2819,8.9052,-0.0427
24,0.08,-0.04,30,0.014,0.6,0.4722,6.3412,-0.041,16,0.0163,0.625,0.2842,9.1223,-0.041
120,0.08,-0.1,30,0.0361,0.7667,1.7039,6.2554,-0.101,16,0.0229,0.625,0.376,3.285,-0.101
120,,,30,0.0695,0.8,5.6865,6.0634,-0.0935,16,0.0493,0.5625,0.9665,3.4221,-0.0692
72,,,30,0.0664,0.7333,4.8142,6.0417,-0.0996,16,0.0277,0.6875,0.5039,4.8221,-0.0814
24,,-0.04,30,0.0142,0.6,0.4774,5.9956,-0.041,16,0.0171,0.625,0.2996,9.0764,-0.041
24,0.12,-0.04,30,0.0141,0.6,0.473,5.9894,-0.041,16,0.0188,0.625,0.3318,9.0138,-0.041
72,0.12,-0.04,30,0.0287,0.5333,1.1831,5.9804,-0.041,16,0.0291,0.625,0.5402,6.2036,-0.041
72,0.12,-0.1,30,0.0389,0.7,1.8677,5.8585,-0.101,16,0.028,0.6875,0.5024,4.7006,-0.101
48,0.12,,30,0.026,0.6333,1.0468,5.8004,-0.0963,16,0.0244,0.6875,0.4269,5.1975,-0.0766
24,,,30,0.0152,0.6333,0.5185,5.7973,-0.0833,16,0.017,0.625,0.2973,8.8683,-0.0427
24,,-0.1,30,0.0152,0.6333,0.5185,5.7973,-0.0833,16,0.017,0.625,0.2973,8.8683,-0.0427
24,0.12,,30,0.0151,0.6333,0.514,5.7909,-0.0833,16,0.0187,0.625,0.3294,8.8184,-0.0427
24,0.12,-0.1,30,0.0151,0.6333,0.514,5.7909,-0.0833,16,0.0187,0.625,0.3294,8.8184,-0.0427
72,0.08,-0.04,30,0.0189,0.5333,0.6718,5.529,-0.041,16,0.0261,0.625,0.479,6.9719,-0.041
120,0.12,-0.04,30,0.0313,0.5,1.3272,5.4572,-0.041,16,0.0294,0.5,0.5277,4.2589,-0.041
72,0.12,-0.08,30,0.0341,0.6667,1.4915,5.313,-0.081,16,0.0211,0.625,0.3451,3.4616,-0.081
72,,-0.04,30,0.0486,0.5333,2.4864,5.2892,-0.041,16,0.0253,0.625,0.4524,5.1119,-0.041
72,,-0.1,30,0.0596,0.7,3.6931,5.266,-0.101,16,0.0242,0.6875,0.4168,3.8948,-0.101
72,0.08,-0.1,30,0.0264,0.7,1.0419,5.2556,-0.101,16,0.025,0.6875,0.4427,4.9908,-0.101
120,0.12,-0.08,30,0.0402,0.6667,1.9394,5.2024,-0.081,16,0.0153,0.5,0.2001,1.6667,-0.081
120,0.08,-0.04,30,0.019,0.5,0.6696,5.1975,-0.041,16,0.0265,0.5625,0.4788,5.6079,-0.041
48,0.08,-0.06,30,0.0185,0.6,0.6493,5.1963,-0.061,16,0.0199,0.6875,0.3373,5.1187,-0.061
48,0.12,-0.1,30,0.0242,0.6333,0.9306,5.1839,-0.101,16,0.0244,0.6875,0.4269,5.1975,-0.0766
24,,-0.08,30,0.014,0.6333,0.4583,5.1524,-0.081,16,0.017,0.625,0.2973,8.8683,-0.0427
48,,,30,0.034,0.6333,1.4705,5.1485,-0.0963,16,0.0264,0.6875,0.4669,5.1961,-0.0766
24,0.12,-0.08,30,0.0138,0.6333,0.4539,5.1417,-0.081,16,0.0187,0.625,0.3294,8.8184,-0.0427
120,0.08,-0.06,30,0.0242,0.6333,0.9221,5.0753,-0.061,16,0.0199,0.5625,0.3226,3.5362,-0.061
72,0.08,-0.06,30,0.0214,0.6333,0.7787,5.0523,-0.061,16,0.0206,0.625,0.3482,4.596,-0.061
72,,-0.08,30,0.0549,0.6667,3.0774,5.0013,-0.081,16,0.0173,0.625,0.2684,2.7306,-0.081
48,,-0.1,30,0.0322,0.6333,1.3303,4.7812,-0.101,16,0.0264,0.6875,0.4669,5.1961,-0.0766
48,0.08,-0.08,30,0.019,0.6333,0.6561,4.7376,-0.081,16,0.0198,0.6875,0.3344,4.8177,-0.0766
120,0.08,-0.08,30,0.0256,0.6667,0.9819,4.7358,-0.081,16,0.0134,0.5625,0.1822,1.9609,-0.081
72,0.12,-0.06,30,0.0265,0.6,1.0213,4.6434,-0.061,16,0.0236,0.625,0.404,4.3421,-0.061
48,0.08,-0.04,30,0.0141,0.5,0.4566,4.5795,-0.041,16,0.0245,0.6875,0.444,7.334,-0.041
72,0.08,-0.08,30,0.0217,0.6667,0.774,4.5448,-0.081,16,0.0181,0.625,0.2916,3.5267,-0.081
120,,-0.1,30,0.0563,0.7333,3.4206,4.5206,-0.101,16,0.0376,0.5,0.6131,2.4914,-0.101
120,0.12,-0.06,30,0.0315,0.6,1.3066,4.5206,-0.061,16,0.0216,0.5,0.3378,2.7059,-0.061
72,,-0.06,30,0.0463,0.6,2.2279,4.5137,-0.061,16,0.0198,0.625,0.324,3.4795,-0.061
24,,-0.06,30,0.0113,0.6,0.3487,4.2357,-0.061,16,0.017,0.625,0.2973,8.8683,-0.0427
24,0.12,-0.06,30,0.0112,0.6,0.3447,4.2194,-0.061,16,0.0187,0.625,0.3294,8.8184,-0.0427
120,,-0.04,30,0.0388,0.5,1.721,3.9671,-0.041,16,0.0423,0.4375,0.7608,3.3987,-0.041
48,,-0.04,30,0.023,0.4667,0.7839,3.9527,-0.041,16,0.031,0.6875,0.5873,7.2573,-0.041
48,,-0.08,30,0.0266,0.6,0.955,3.9113,-0.081,16,0.0264,0.6875,0.4669,5.1961,-0.0766
48,0.12,-0.04,30,0.015,0.4667,0.4779,3.8423,-0.041,16,0.0291,0.6875,0.5441,7.4426,-0.041
48,0.12,-0.08,30,0.0186,0.6,0.6197,3.8374,-0.081,16,0.0244,0.6875,0.4269,5.1975,-0.0766
120,,-0.08,30,0.043,0.6333,2.0072,3.597,-0.081,16,0.0333,0.5,0.5036,2.2592,-0.081
48,,-0.06,30,0.0227,0.5333,0.7578,3.5386,-0.061,16,0.0265,0.6875,0.47,5.4706,-0.061
120,,-0.06,30,0.039,0.6,1.6969,3.5238,-0.061,16,0.0332,0.4375,0.5098,2.4403,-0.061
48,0.12,-0.06,30,0.0147,0.5333,0.4563,3.315,-0.061,16,0.0245,0.6875,0.4299,5.4915,-0.061
